iter	Passed	Remaining
0	10	10133
1	19	9600
2	27	9138
3	35	8753
4	42	8479
5	49	8158
6	55	7938
7	67	8399
8	76	8377
9	83	8272
10	90	8106
11	97	8033
12	104	7962
13	111	7855
14	118	7799
15	124	7681
16	130	7572
17	137	7490
18	143	7417
19	150	7354
20	156	7303
21	162	7235
22	169	7199
23	175	7147
24	182	7104
25	188	7060
26	194	7022
27	202	7014
28	208	6990
29	216	6984
30	222	6961
31	229	6952
32	236	6934
33	243	6905
34	249	6870
35	255	6837
36	261	6816
37	267	6777
38	274	6753
39	280	6738
40	286	6709
41	293	6703
42	299	6672
43	306	6658
44	312	6636
45	319	6621
46	326	6614
47	332	6593
48	339	6592
49	346	6585
50	353	6569
51	359	6546
52	365	6531
53	372	6517
54	377	6493
55	383	6470
56	390	6461
57	397	6448
58	403	6428
59	409	6417
60	416	6415
61	423	6411
62	431	6414
63	438	6413
64	446	6418
65	453	6422
66	461	6421
67	468	6424
68	475	6421
69	483	6419
70	490	6419
71	497	6409
72	503	6398
73	513	6421
74	526	6497
75	534	6499
76	543	6520
77	554	6549
78	562	6562
79	569	6553
80	576	6545
81	584	6544
82	590	6527
83	597	6520
84	605	6513
85	611	6499
86	617	6480
87	623	6464
88	630	6454
89	636	6437
90	643	6423
91	649	6412
92	655	6396
93	663	6390
94	669	6380
95	676	6374
96	683	6364
97	690	6358
98	697	6351
99	704	6336
100	710	6321
101	716	6308
102	723	6297
103	729	6281
104	735	6270
105	741	6255
106	747	6241
107	754	6230
108	760	6217
109	767	6206
110	773	6192
111	779	6180
112	785	6168
113	792	6156
114	798	6143
115	804	6131
116	811	6121
117	816	6106
118	823	6092
119	829	6083
120	835	6071
121	842	6062
122	848	6052
123	854	6037
124	860	6025
125	866	6013
126	872	6000
127	879	5988
128	885	5979
129	892	5970
130	898	5960
131	904	5948
132	910	5936
133	916	5922
134	923	5914
135	929	5907
136	937	5905
137	943	5895
138	950	5888
139	957	5880
140	963	5867
141	969	5858
142	975	5846
143	981	5835
144	988	5826
145	994	5815
146	1000	5804
147	1006	5792
148	1012	5784
149	1018	5772
150	1024	5760
151	1030	5747
152	1035	5734
153	1041	5723
154	1047	5711
155	1053	5701
156	1060	5692
157	1065	5679
158	1071	5669
159	1077	5657
160	1083	5647
161	1089	5637
162	1095	5627
163	1101	5615
164	1107	5606
165	1114	5597
166	1120	5587
167	1126	5577
168	1132	5569
169	1138	5558
170	1144	5549
171	1151	5541
172	1157	5532
173	1163	5522
174	1169	5511
175	1175	5505
176	1181	5495
177	1187	5483
178	1193	5476
179	1200	5470
180	1206	5460
181	1213	5454
182	1219	5445
183	1225	5435
184	1231	5426
185	1238	5419
186	1244	5410
187	1250	5400
188	1256	5393
189	1262	5383
190	1268	5374
191	1275	5365
192	1280	5354
193	1286	5345
194	1292	5335
195	1298	5325
196	1304	5315
197	1309	5305
198	1316	5297
199	1322	5290
200	1328	5280
201	1335	5276
202	1341	5268
203	1347	5259
204	1354	5251
205	1360	5242
206	1367	5236
207	1373	5230
208	1380	5224
209	1386	5216
210	1392	5207
211	1398	5199
212	1404	5190
213	1410	5182
214	1416	5172
215	1422	5162
216	1428	5154
217	1434	5144
218	1439	5134
219	1445	5125
220	1451	5116
221	1458	5109
222	1463	5100
223	1469	5091
224	1475	5083
225	1481	5073
226	1487	5065
227	1493	5055
228	1498	5045
229	1504	5036
230	1510	5027
231	1516	5019
232	1522	5011
233	1528	5002
234	1534	4994
235	1540	4988
236	1547	4983
237	1553	4975
238	1559	4966
239	1565	4958
240	1571	4949
241	1577	4940
242	1583	4933
243	1589	4923
244	1595	4915
245	1600	4906
246	1606	4898
247	1612	4889
248	1618	4880
249	1624	4872
250	1630	4865
251	1636	4856
252	1642	4850
253	1648	4842
254	1655	4835
255	1661	4828
256	1667	4820
257	1673	4814
258	1679	4805
259	1685	4797
260	1692	4790
261	1698	4783
262	1704	4776
263	1710	4768
264	1716	4761
265	1722	4753
266	1728	4745
267	1735	4738
268	1741	4731
269	1747	4724
270	1753	4718
271	1759	4709
272	1765	4701
273	1771	4694
274	1779	4690
275	1785	4682
276	1791	4675
277	1798	4670
278	1804	4663
279	1811	4657
280	1818	4653
281	1824	4646
282	1831	4639
283	1837	4633
284	1844	4626
285	1850	4619
286	1856	4612
287	1862	4605
288	1869	4598
289	1875	4591
290	1881	4585
291	1888	4578
292	1894	4571
293	1900	4564
294	1906	4557
295	1914	4552
296	1920	4546
297	1927	4539
298	1934	4534
299	1941	4530
300	1948	4524
301	1955	4518
302	1962	4513
303	1969	4508
304	1975	4501
305	1981	4494
306	1988	4488
307	1995	4482
308	2001	4475
309	2007	4469
310	2014	4463
311	2021	4458
312	2028	4452
313	2035	4446
314	2041	4440
315	2049	4435
316	2056	4429
317	2063	4424
318	2070	4419
319	2077	4414
320	2084	4408
321	2090	4402
322	2097	4395
323	2103	4388
324	2110	4382
325	2116	4376
326	2124	4371
327	2131	4367
328	2147	4379
329	2154	4374
330	2164	4374
331	2173	4373
332	2180	4366
333	2186	4359
334	2194	4356
335	2201	4350
336	2209	4346
337	2215	4340
